"Fase","Tarea","Responsable","Fecha de Inicio","Fecha de Finalización"
"Fase 1: Análisis y Diseño","Tarea 1.1: Entrevistas con stakeholders de la SEP","Líder de Proyecto","2025-11-03","2025-11-05"
"Fase 1: Análisis y Diseño","Tarea 1.2: Análisis de los modelos de datos de 2 subsistemas piloto","Analista de Datos","2025-11-06","2025-11-12"
"Fase 1: Análisis y Diseño","Tarea 1.3: Borrador del Documento de Alcance","Líder de Proyecto","2025-11-13","2025-11-14"
"Fase 1: Análisis y Diseño","Tarea 1.4: Diseño de la arquitectura de alto nivel","Arquitecto de Software","2025-11-17","2025-11-19"
"Fase 1: Análisis y Diseño","Tarea 1.5: Diseño del modelo de datos (E-R Diagram)","Analista de Datos","2025-11-20","2025-11-24"
"Fase 1: Análisis y Diseño","Tarea 1.6: Definición del layout de datos para la API","Arquitecto de Software","2025-11-25","2025-11-26"
"Fase 1: Análisis y Diseño","Tarea 1.7: Revisión y aprobación de la documentación de diseño","Equipo Completo","2025-11-27","2025-11-28"
"Fase 2: Desarrollo del Núcleo","Tarea 2.1: Implementación de la API de Recepción","Desarrollador Backend","2025-12-01","2025-12-12"
"Fase 2: Desarrollo del Núcleo","Tarea 2.2: Creación de los scripts DDL para las bases de datos","DBA","2025-12-01","2025-12-05"
"Fase 2: Desarrollo del Núcleo","Tarea 2.3: Desarrollo del worker para el procesamiento de mensajes","Desarrollador Backend","2025-12-15","2026-01-09"
"Fase 2: Desarrollo del Núcleo","Tarea 2.4: Implementación de la lógica de validación (RENAPO, CCT)","Desarrollador Backend","2026-01-12","2026-01-16"
"Fase 2: Desarrollo del Núcleo","Tarea 2.5: Pruebas unitarias y de integración de los servicios del núcleo","Equipo de QA","2026-01-19","2026-01-23"
"Fase 3: Desarrollo de la Interfaz","Tarea 3.1: Configuración del proyecto Angular y diseño de componentes base","Desarrollador Frontend","2026-01-26","2026-02-06"
"Fase 3: Desarrollo de la Interfaz","Tarea 3.2: Desarrollo del módulo de autenticación y seguridad","Desarrollador Frontend","2026-02-09","2026-02-20"
"Fase 3: Desarrollo de la Interfaz","Tarea 3.3: Implementación del módulo de consulta de trayectoria","Desarrollador Frontend","2026-02-23","2026-03-06"
"Fase 3: Desarrollo de la Interfaz","Tarea 3.4: Desarrollo del módulo de administración de usuarios","Desarrollador Frontend","2026-03-09","2026-03-13"
"Fase 3: Desarrollo de la Interfaz","Tarea 3.5: Integración de las APIs de consulta y pruebas de la interfaz","Desarrollador Frontend / QA","2026-03-16","2026-03-20"